Title,StationID,Longitude,Latitude,MagnData,MagnUpdate,SoundData,SoundUpdate
都江堰中学,19,103.65,30.98,TRUE,TRUE,TRUE,TRUE
通海山洞,24,102.75,24.12,TRUE,TRUE,TRUE,TRUE
康定姑咱山洞B,26,102.17,30.12,TRUE,TRUE,TRUE,TRUE
楚雄山洞,29,101.54,25.03,TRUE,TRUE,TRUE,TRUE
西昌气象局,32,102.27,27.9,TRUE,FALSE,TRUE,TRUE
石棉挖角乡,33,102.28,29.31,TRUE,TRUE,TRUE,TRUE
石棉山洞B,35,102.35,29.23,TRUE,TRUE,TRUE,TRUE
永胜期纳镇,36,100.62,26.33,TRUE,TRUE,TRUE,TRUE
冕宁防震减灾局,38,102.17,28.55,TRUE,TRUE,TRUE,TRUE
巧家地震台,39,102.94,26.9,TRUE,TRUE,TRUE,TRUE
德昌防震减灾局,41,102.17,27.4,TRUE,TRUE,TRUE,TRUE
青川县防震减灾局,43,105.23,32.59,TRUE,TRUE,TRUE,TRUE
筠连县地震台,47,104.51,28.15,TRUE,TRUE,TRUE,TRUE
珙县气象局,48,104.79,28.38,TRUE,TRUE,TRUE,TRUE
洱源山洞B,51,99.95,26.1,TRUE,TRUE,TRUE,TRUE
丽江山洞C,55,100.17,26.97,TRUE,TRUE,TRUE,TRUE
白玉县河坡乡政府,59,98.96,31.38,TRUE,FALSE,TRUE,FALSE
马边地震局,73,103.54,28.83,TRUE,TRUE,TRUE,TRUE
犍为县防震减灾局,75,103.94,29.21,TRUE,TRUE,TRUE,TRUE
高县气象局,77,104.51,28.44,TRUE,TRUE,TRUE,TRUE
盐源县盐塘乡,78,101.17,27.35,TRUE,TRUE,TRUE,TRUE
理塘县防震减灾局,82,100.27,29.99,TRUE,FALSE,TRUE,FALSE
雷波县地震台(山洞),84,103.58,28.27,TRUE,FALSE,TRUE,TRUE
金口河防震减灾局,87,103.08,29.22,TRUE,TRUE,TRUE,TRUE
理县上孟乡政府,88,103.14,31.68,TRUE,TRUE,TRUE,TRUE
茂县测点,90,103.85,31.69,TRUE,TRUE,TRUE,TRUE
汶川防震减灾局,91,103.59,31.48,TRUE,TRUE,TRUE,TRUE
宝兴县灵关中学,93,102.82,30.25,TRUE,TRUE,TRUE,TRUE
甘孜雅江,94,101.01,30.03,TRUE,TRUE,TRUE,TRUE
峨边中学,96,103.25,29.23,TRUE,TRUE,TRUE,TRUE
马尔康市防震减灾局,98,102.22,31.9,TRUE,TRUE,TRUE,TRUE
